pair_id,landmark,difficulty,match_count,inlier_count
eiffel_easy_091_005,eiffel,easy,43,22
eiffel_medium_091_051,eiffel,medium,7,4
eiffel_medium_091_028,eiffel,medium,23,17
eiffel_medium_091_128,eiffel,medium,12,6
eiffel_hard_091_037,eiffel,hard,5,0
eiffel_hard_091_110,eiffel,hard,14,4
eiffel_hard_091_014,eiffel,hard,8,4
eiffel_hard_091_000,eiffel,hard,6,0
eiffel_stress_091_030,eiffel,stress,27,22
louvre_easy_050_004,louvre,easy,11,4
louvre_medium_050_022,louvre,medium,35,19
louvre_medium_050_099,louvre,medium,8,4
louvre_hard_050_008,louvre,hard,14,6
louvre_hard_050_013,louvre,hard,9,3
louvre_hard_050_033,louvre,hard,10,0
louvre_hard_050_062,louvre,hard,1,0
louvre_stress_050_017,louvre,stress,16,6
notredame_easy_032_121,notredame,easy,59,12
notredame_easy_032_204,notredame,easy,1625,1502
notredame_medium_032_086,notredame,medium,72,28
notredame_medium_032_133,notredame,medium,314,236
notredame_medium_032_195,notredame,medium,91,34
notredame_medium_032_367,notredame,medium,205,129
notredame_hard_032_042,notredame,hard,40,10
notredame_hard_032_083,notredame,hard,47,13
notredame_hard_032_762,notredame,hard,59,11
sacrecoeur_easy_085_094,sacrecoeur,easy,329,256
sacrecoeur_easy_085_086,sacrecoeur,easy,217,114
sacrecoeur_easy_085_010,sacrecoeur,easy,37,15
sacrecoeur_medium_085_124,sacrecoeur,medium,86,42
sacrecoeur_medium_085_121,sacrecoeur,medium,83,43
sacrecoeur_medium_085_065,sacrecoeur,medium,70,37
sacrecoeur_medium_085_012,sacrecoeur,medium,43,10
sacrecoeur_medium_085_009,sacrecoeur,medium,56,18
sacrecoeur_hard_085_101,sacrecoeur,hard,20,5
sacrecoeur_hard_085_052,sacrecoeur,hard,20,8
